datetime;open;close;hma8;hma13;hma21;hma34;hma55;hma89;hma116;hma144;hma188;hma233;hma377;atr;adx;choppiness;fast_hma_spread;fast_hma_spread_atr;trend;event;lateral_filter;lateral_filter_reasons;reversal_cooldown_bars_remaining;last_reversal_fast_hmas_crossed;fast_hma_alignment;fast_hma_up_count;fast_hma_down_count;fast_hma_aligned_up;fast_hma_aligned_down;crossed_hmas;up_touched_hmas;down_touched_hmas;crossed_all_up;crossed_all_down;crossed_history;crossed_up;crossed_down;crossed_free_up;crossed_free_down;possivel_reversa;hma8_dir;hma8_angle_degrees;hma8_angle_percent;hma13_dir;hma13_angle_degrees;hma13_angle_percent;hma21_dir;hma21_angle_degrees;hma21_angle_percent
2026-04-20 04:20:00;4792,61000;4808,10000;4797,41857;;;;;;;;;;;;;;0,00000;;NEUTRAL;TREND_EXHAUSTED;False;;0;8;HMA8:UP|HMA13:FLAT|HMA21:FLAT;1;0;False;False;;;;8;;;8;;8;;False;UP;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 04:40:00;4808,08000;4807,87000;4811,59407;;;;;;;;;;;;;;0,00000;;DOWNTREND;REVERSAL_TO_HMA8;False;;0;8;HMA8:UP|HMA13:FLAT|HMA21:FLAT;1;0;False;False;;;;;8;;;8;;8;False;UP;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 05:00:00;4807,83000;4800,87000;4814,89709;;;;;;;;;;;;;;0,00000;;DOWNTREND;;False;;0;8;HMA8:UP|HMA13:FLAT|HMA21:FLAT;1;0;False;False;;;;;8;;;;;;False;UP;0,00000;0.0%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 05:20:00;4800,86000;4796,86000;4809,63954;;;;;;;;;;;22,07026;;38,67915;0,00000;0,00000;DOWNTREND;;False;;0;8;HMA8:DOWN|HMA13:FLAT|HMA21:FLAT;0;1;False;False;;;;;8;;;;;;False;DOWN;19,95000;44.33%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 05:40:00;4796,87000;4797,16000;4802,36806;4811,47712;;;;;;;;;;20,84310;;32,77521;9,10906;0,43703;DOWNTREND;;False;;0;8;HMA8:DOWN|HMA13:FLAT|HMA21:FLAT;0;1;False;False;;;;;8;;;;;;False;DOWN;3,40000;7.55%;FLAT;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 06:00:00;4797,08000;4791,80000;4795,37393;4807,84399;;;;;;;;;;20,02717;;32,47858;12,47007;0,62266;NEUTRAL;TREND_EXHAUSTED;False;;0;8;HMA8:DOWN|HMA13:DOWN|HMA21:FLAT;0;2;False;True;;;;;8;8;;8;;8;False;DOWN;-11,45000;25.44%;DOWN;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 06:20:00;4791,79000;4794,03000;4791,93578;4802,81314;;;;;;;;;;19,06594;;32,04083;10,87737;0,57051;NEUTRAL;;False;;0;8;HMA8:DOWN|HMA13:DOWN|HMA21:FLAT;0;2;False;True;;;;8;8;8;8;;8;;False;DOWN;-16,76000;37.24%;DOWN;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 06:40:00;4794,06000;4790,87000;4790,34493;4797,52711;;;;;;;;;;18,13266;;31,47414;7,18219;0,39609;NEUTRAL;;False;;0;8;HMA8:DOWN|HMA13:DOWN|HMA21:FLAT;0;2;False;True;;;;8;8;8;;8;;;False;DOWN;-14,90000;33.1%;DOWN;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 07:00:00;4791,11000;4793,15000;4790,44744;4793,95512;;;;;;;;;;17,17675;;29,37714;3,50767;0,20421;NEUTRAL;;False;;0;8;HMA8:UP|HMA13:DOWN|HMA21:FLAT;1;1;False;False;;;;8;8;8;;;;;False;UP;-9,84000;21.87%;DOWN;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 07:20:00;4793,13000;4790,62000;4790,65541;4791,41771;;;;;;;;;;16,48556;;28,80809;0,76230;0,04624;NEUTRAL;;False;;0;8;HMA8:UP|HMA13:DOWN|HMA21:FLAT;1;1;False;False;;;;8;8,13;8;;8,13;;13;False;UP;-4,09000;9.1%;DOWN;0,00000;0.0%;FLAT;0,00000;0.0%
2026-04-20 07:40:00;4790,70000;4788,85000;4789,66113;4789,48120;;;;;;;;;;15,75159;;33,79242;0,17993;0,01142;DOWNTREND;REVERSAL_TO_HMA13;False;;2;8,13;HMA8:DOWN|HMA13:DOWN|HMA21:FLAT;0;2;False;True;;;;;8,13;8,13;;8,13;;13;False;DOWN;-2,07000;4.59%;DOWN;-13,10000;29.11%;FLAT;0,00000;0.0%
2026-04-20 08:00:00;4788,89000;4787,70000;4788,27002;4787,90050;;;;;;;;;;15,22719;;34,91766;0,36952;0,02427;NEUTRAL;TREND_EXHAUSTED;False;;1;8,13;HMA8:DOWN|HMA13:DOWN|HMA21:FLAT;0;2;False;True;;;;;8,13;8,13;;8,13;;;False;DOWN;-1,95000;4.34%;DOWN;-12,31000;27.36%;FLAT;0,00000;0.0%
2026-04-20 08:20:00;4787,69000;4792,58000;4789,02420;4787,86458;;;;;;;;;;14,91882;;43,24276;1,15962;0,07773;NEUTRAL;;False;;0;8,13;HMA8:UP|HMA13:DOWN|HMA21:FLAT;1;1;False;False;;;;8,13;8,13;8,13;8,13;;8,13;;False;UP;-1,37000;3.04%;DOWN;-9,48000;21.07%;FLAT;0,00000;0.0%
