datetime;fast_tf;slow_tf;period;hma_value;fast_close;direction
2026-04-22 01:00:00;M5;120;21;4718,32834;4725,56000;UP
2026-04-22 16:00:00;M5;120;21;4742,64179;4741,49000;DOWN
2026-04-22 16:20:00;M5;120;21;4746,56568;4747,04000;UP
2026-04-22 18:05:00;M5;120;21;4747,14461;4736,07000;DOWN
2026-04-22 21:45:00;M5;120;21;4746,58411;4746,76000;UP
2026-04-22 22:05:00;M5;120;21;4745,08099;4740,28000;DOWN
2026-04-23 01:00:00;M5;120;21;4741,68725;4741,74000;UP
2026-04-23 02:15:00;M5;120;34;4728,60733;4728,97000;UP
2026-04-23 02:05:00;M5;120;21;4739,77064;4726,09000;DOWN
2026-04-23 04:05:00;M5;120;21;4733,61244;4743,96000;UP
2026-04-23 04:50:00;M5;120;34;4727,88338;4724,68000;DOWN
2026-04-23 06:05:00;M5;120;21;4725,89019;4703,62000;DOWN
2026-04-23 10:10:00;M5;120;21;4711,82583;4712,31000;UP
2026-04-23 12:05:00;M5;120;34;4715,66845;4695,39000;DOWN
2026-04-23 14:40:00;M5;120;21;4704,28908;4705,38000;UP
2026-04-23 20:05:00;M5;120;34;4712,11624;4710,51000;DOWN
2026-04-24 03:25:00;M5;120;21;4703,70956;4705,49000;UP
2026-04-24 04:25:00;M5;120;34;4700,36179;4698,42000;DOWN
2026-04-24 08:55:00;M5;120;21;4685,81937;4686,37000;UP
2026-04-24 10:45:00;M5;120;34;4686,87151;4691,00000;UP
2026-04-24 10:05:00;M5;120;21;4680,16714;4677,50000;DOWN
2026-04-24 12:05:00;M5;120;21;4675,49886;4691,32000;UP
2026-04-24 12:30:00;M5;120;34;4683,06796;4682,86000;DOWN
2026-04-24 14:05:00;M5;120;34;4681,11454;4696,02000;UP
2026-04-27 01:05:00;M5;120;55;4685,64273;4681,63000;DOWN
2026-04-27 03:55:00;M5;120;34;4694,31843;4697,83000;UP
2026-04-27 05:35:00;M5;120;21;4710,27829;4712,19000;UP
2026-04-27 04:10:00;M5;120;34;4695,79793;4692,65000;DOWN
2026-04-27 06:05:00;M5;120;34;4698,52658;4720,37000;UP
2026-04-27 08:30:00;M5;120;21;4716,46050;4712,70000;DOWN
2026-04-27 10:20:00;M5;120;21;4717,29037;4717,71000;UP
2026-04-27 12:05:00;M5;120;34;4707,18739;4704,58000;DOWN
2026-04-27 15:10:00;M5;120;34;4708,73011;4708,78000;UP
2026-04-27 16:30:00;M5;120;55;4694,81126;4694,54000;DOWN
2026-04-28 01:05:00;M5;120;21;4683,43432;4688,85000;UP
2026-04-28 02:35:00;M5;120;34;4693,27453;4693,48000;UP
2026-04-28 04:10:00;M5;120;55;4688,69970;4688,01000;DOWN
2026-04-28 06:05:00;M5;120;21;4672,74326;4672,75000;UP
2026-04-28 08:05:00;M5;120;21;4664,73004;4653,73000;DOWN
2026-04-28 20:05:00;M5;120;21;4583,46961;4591,30000;UP
2026-04-29 01:00:00;M5;120;34;4593,94493;4598,56000;UP
2026-04-29 04:00:00;M5;120;34;4587,35367;4582,53000;DOWN
2026-04-29 04:10:00;M5;120;34;4581,81322;4582,59000;UP
2026-04-29 08:05:00;M5;120;55;4599,34557;4602,20000;UP
2026-04-29 10:05:00;M5;120;55;4593,23855;4579,63000;DOWN
2026-04-29 12:15:00;M5;120;21;4575,94607;4579,51000;UP
2026-04-29 14:50:00;M5;120;34;4560,89022;4560,47000;DOWN
2026-04-29 19:00:00;M5;120;21;4555,18556;4562,05000;UP
2026-04-29 20:30:00;M5;120;34;4544,31104;4544,30000;DOWN
2026-04-29 22:10:00;M5;120;21;4540,15034;4547,73000;UP
2026-04-30 01:00:00;M5;120;55;4544,97204;4539,56000;DOWN
2026-04-30 02:05:00;M5;120;55;4539,98759;4551,80000;UP
2026-04-30 04:05:00;M5;120;89;4567,73582;4565,59000;DOWN
2026-04-30 06:05:00;M5;120;89;4562,73447;4567,19000;UP
2026-04-30 08:05:00;M5;120;89;4558,48317;4552,58000;DOWN
2026-04-30 10:05:00;M5;120;89;4555,27407;4594,75000;UP
2026-04-30 18:10:00;M5;120;21;4622,08732;4619,98000;DOWN
2026-05-01 03:10:00;M5;120;34;4622,89024;4622,46000;DOWN
2026-05-01 05:10:00;M5;120;34;4628,31381;4630,89000;UP
2026-05-01 06:05:00;M5;120;34;4631,84298;4619,03000;DOWN
2026-05-01 09:25:00;M5;120;55;4593,96368;4593,49000;DOWN
2026-05-01 12:50:00;M5;120;89;4564,16988;4560,99000;DOWN
2026-05-01 15:20:00;M5;120;21;4594,84266;4597,43000;UP
2026-05-01 16:55:00;M5;120;34;4617,57576;4625,67000;UP
2026-05-01 16:05:00;M5;120;55;4601,05079;4596,18000;DOWN
2026-05-01 18:05:00;M5;120;21;4594,79795;4626,64000;UP
2026-05-01 21:10:00;M5;120;34;4617,11400;4615,74000;DOWN
2026-05-01 22:05:00;M5;120;34;4617,35881;4622,77000;UP
2026-05-01 23:00:00;M5;120;55;4610,64379;4609,11000;DOWN
2026-05-04 01:00:00;M5;120;55;4613,93267;4625,59000;UP
2026-05-04 01:20:00;M5;120;34;4617,58292;4617,09000;DOWN
2026-05-04 02:30:00;M5;120;34;4617,22535;4617,55000;UP
2026-05-04 02:05:00;M5;120;55;4616,81212;4615,39000;DOWN
2026-05-04 04:05:00;M5;120;34;4616,09258;4599,07000;DOWN
2026-05-04 06:55:00;M5;120;34;4614,61639;4615,02000;UP
2026-05-04 08:05:00;M5;120;34;4612,06576;4606,11000;DOWN
2026-05-04 10:50:00;M5;120;89;4584,82897;4582,13000;DOWN
2026-05-04 17:35:00;M5;120;21;4577,53507;4579,69000;UP
2026-05-04 18:05:00;M5;120;21;4562,90676;4557,90000;DOWN
2026-05-05 01:00:00;M5;120;21;4519,60659;4520,44000;UP
2026-05-05 04:05:00;M5;120;34;4533,23083;4534,58000;UP
2026-05-05 10:00:00;M5;120;55;4552,47995;4552,85000;UP
2026-05-05 10:45:00;M5;120;55;4548,09035;4545,53000;DOWN
2026-05-05 12:05:00;M5;120;55;4544,31292;4559,11000;UP
2026-05-05 14:40:00;M5;120;89;4560,22482;4563,40000;UP
2026-05-05 19:35:00;M5;120;89;4557,87642;4555,98000;DOWN
2026-05-05 20:15:00;M5;120;89;4556,86968;4560,86000;UP
2026-05-05 20:05:00;M5;120;21;4560,85785;4554,72000;DOWN
2026-05-05 22:40:00;M5;120;89;4555,83320;4555,66000;DOWN
2026-05-06 01:55:00;M5;120;21;4569,26209;4573,38000;UP
2026-05-06 15:00:00;M5;120;21;4691,66019;4685,54000;DOWN
2026-05-06 17:10:00;M5;120;21;4708,32213;4711,03000;UP
2026-05-06 18:05:00;M5;120;21;4718,91456;4698,76000;DOWN
2026-05-06 20:05:00;M5;120;34;4689,29267;4686,17000;DOWN
2026-05-06 22:20:00;M5;120;34;4699,35779;4699,75000;UP
2026-05-07 01:00:00;M5;120;34;4707,99484;4690,58000;DOWN
2026-05-07 09:30:00;M5;120;21;4717,41816;4733,00000;UP
2026-05-07 11:15:00;M5;120;34;4737,31465;4736,55000;DOWN
2026-05-07 15:30:00;M5;120;34;4747,16374;4747,28000;UP
2026-05-07 14:10:00;M5;120;21;4733,36992;4730,18000;DOWN
2026-05-07 16:20:00;M5;120;21;4742,30042;4744,74000;UP
2026-05-07 16:05:00;M5;120;34;4752,41389;4741,06000;DOWN
2026-05-07 18:05:00;M5;120;34;4754,82508;4758,82000;UP
2026-05-07 18:45:00;M5;120;55;4738,38309;4735,02000;DOWN
2026-05-07 20:05:00;M5;120;34;4754,76130;4716,78000;DOWN
2026-05-07 23:55:00;M5;120;89;4688,69759;4688,23000;DOWN
2026-05-08 01:20:00;M5;120;89;4694,59052;4696,28000;UP
2026-05-08 02:05:00;M5;120;89;4699,98964;4691,29000;DOWN
2026-05-08 04:05:00;M5;120;21;4714,43305;4714,71000;UP
2026-05-08 09:25:00;M5;120;34;4730,11933;4733,54000;UP
2026-05-08 08:10:00;M5;120;89;4714,64907;4712,28000;DOWN
2026-05-08 10:05:00;M5;120;89;4719,18681;4722,73000;UP
2026-05-08 10:05:00;M5;120;34;4728,22548;4722,73000;DOWN
2026-05-08 12:05:00;M5;120;21;4707,35150;4716,02000;UP
2026-05-08 12:05:00;M5;120;89;4723,62136;4716,02000;DOWN
2026-05-08 15:50:00;M5;120;89;4727,97823;4730,98000;UP
2026-05-08 14:05:00;M5;120;34;4725,30864;4724,67000;DOWN
