datetime;fast_tf;slow_tf;period;hma_value;fast_close;direction
2026-04-20 12:45:00;M5;30;21;4793,06570;4795,26000;UP
2026-04-20 14:00:00;M5;30;21;4794,26391;4790,84000;DOWN
2026-04-20 14:45:00;M5;30;21;4795,85203;4801,81000;UP
2026-04-20 17:05:00;M5;30;21;4814,34530;4812,71000;DOWN
2026-04-20 20:35:00;M5;30;21;4809,51413;4809,84000;UP
2026-04-20 21:05:00;M5;30;34;4812,47927;4814,05000;UP
2026-04-20 21:35:00;M5;30;34;4813,09727;4812,12000;DOWN
2026-04-20 22:05:00;M5;30;34;4813,92307;4820,04000;UP
2026-04-20 22:35:00;M5;30;34;4814,63693;4811,01000;DOWN
2026-04-20 23:05:00;M5;30;21;4812,86383;4814,34000;UP
2026-04-20 23:35:00;M5;30;34;4815,97508;4815,49000;DOWN
2026-04-21 01:05:00;M5;30;34;4817,22348;4829,93000;UP
2026-04-21 02:30:00;M5;30;21;4824,40392;4823,81000;DOWN
2026-04-21 02:45:00;M5;30;34;4821,80322;4821,16000;DOWN
2026-04-21 03:05:00;M5;30;21;4826,98258;4828,31000;UP
2026-04-21 03:35:00;M5;30;34;4823,96997;4819,65000;DOWN
2026-04-21 08:35:00;M5;30;21;4787,28462;4795,86000;UP
2026-04-21 09:15:00;M5;30;21;4782,70867;4780,43000;DOWN
2026-04-21 09:40:00;M5;30;21;4778,68774;4780,37000;UP
2026-04-21 10:40:00;M5;30;34;4784,40533;4786,70000;UP
2026-04-21 11:05:00;M5;30;34;4781,73743;4780,29000;DOWN
2026-04-21 11:35:00;M5;30;34;4779,71978;4788,46000;UP
2026-04-21 13:35:00;M5;30;55;4785,82522;4786,94000;UP
2026-04-21 14:05:00;M5;30;55;4783,99903;4780,07000;DOWN
2026-04-21 14:35:00;M5;30;21;4784,18080;4789,87000;UP
2026-04-21 15:25:00;M5;30;55;4781,20824;4780,74000;DOWN
2026-04-21 15:35:00;M5;30;55;4779,83633;4780,56000;UP
2026-04-21 16:05:00;M5;30;55;4778,40129;4768,02000;DOWN
2026-04-21 16:35:00;M5;30;21;4782,03508;4784,42000;UP
2026-04-21 17:20:00;M5;30;55;4775,69550;4772,63000;DOWN
2026-04-21 20:40:00;M5;30;21;4712,41580;4717,83000;UP
2026-04-21 21:15:00;M5;30;21;4702,29743;4696,22000;DOWN
2026-04-21 21:35:00;M5;30;21;4695,13650;4701,35000;UP
2026-04-21 22:20:00;M5;30;34;4711,78443;4714,32000;UP
2026-04-21 22:35:00;M5;30;34;4704,46239;4701,09000;DOWN
2026-04-21 23:10:00;M5;30;21;4684,42881;4697,17000;UP
2026-04-21 23:45:00;M5;30;55;4712,89055;4713,23000;UP
2026-04-22 05:35:00;M5;30;21;4755,95227;4753,27000;DOWN
2026-04-22 06:25:00;M5;30;21;4761,11849;4763,11000;UP
2026-04-22 06:35:00;M5;30;21;4764,82751;4758,26000;DOWN
2026-04-22 08:15:00;M5;30;21;4768,19383;4768,51000;UP
2026-04-22 08:05:00;M5;30;34;4757,77406;4755,69000;DOWN
2026-04-22 08:35:00;M5;30;34;4762,15083;4766,36000;UP
2026-04-22 08:35:00;M5;30;21;4769,24330;4766,36000;DOWN
2026-04-22 09:05:00;M5;30;34;4766,03240;4760,58000;DOWN
2026-04-22 11:35:00;M5;30;55;4754,85480;4753,32000;DOWN
2026-04-22 12:05:00;M5;30;55;4757,58007;4760,90000;UP
2026-04-22 12:35:00;M5;30;55;4759,84497;4758,67000;DOWN
2026-04-22 13:55:00;M5;30;21;4757,74541;4759,19000;UP
2026-04-22 14:40:00;M5;30;21;4754,86964;4748,63000;DOWN
2026-04-22 16:25:00;M5;30;21;4749,97359;4750,07000;UP
2026-04-22 16:45:00;M5;30;34;4755,98025;4756,74000;UP
2026-04-22 16:35:00;M5;30;21;4749,13708;4748,48000;DOWN
2026-04-22 17:30:00;M5;30;89;4742,67165;4736,13000;DOWN
2026-04-22 19:35:00;M5;30;21;4730,38535;4730,91000;UP
2026-04-22 20:05:00;M5;30;34;4734,95615;4736,45000;UP
2026-04-22 21:25:00;M5;30;34;4731,08508;4730,44000;DOWN
2026-04-22 21:35:00;M5;30;34;4730,13270;4738,00000;UP
2026-04-22 22:05:00;M5;30;89;4744,75606;4740,28000;DOWN
2026-04-22 22:50:00;M5;30;55;4740,33453;4740,41000;UP
2026-04-22 23:05:00;M5;30;55;4738,98917;4738,01000;DOWN
2026-04-22 23:45:00;M5;30;55;4737,80449;4738,63000;UP
2026-04-23 01:10:00;M5;30;55;4736,60354;4736,42000;DOWN
2026-04-23 01:40:00;M5;30;34;4730,67145;4729,87000;DOWN
2026-04-23 03:25:00;M5;30;21;4732,65239;4741,49000;UP
2026-04-23 04:10:00;M5;30;89;4739,71185;4736,85000;DOWN
2026-04-23 04:40:00;M5;30;21;4733,20527;4733,60000;UP
2026-04-23 05:05:00;M5;30;55;4728,08087;4714,41000;DOWN
2026-04-23 07:35:00;M5;30;21;4702,81268;4703,21000;UP
2026-04-23 08:05:00;M5;30;34;4709,53665;4709,64000;UP
2026-04-23 08:55:00;M5;30;55;4712,22691;4713,52000;UP
2026-04-23 08:35:00;M5;30;34;4707,28795;4702,91000;DOWN
2026-04-23 09:05:00;M5;30;34;4705,68143;4713,10000;UP
2026-04-23 09:15:00;M5;30;55;4710,64574;4710,33000;DOWN
2026-04-23 09:35:00;M5;30;55;4709,35618;4713,40000;UP
2026-04-23 10:20:00;M5;30;55;4708,10880;4705,65000;DOWN
2026-04-23 10:35:00;M5;30;55;4707,23446;4709,36000;UP
2026-04-23 11:30:00;M5;30;89;4715,28611;4709,78000;DOWN
2026-04-23 11:40:00;M5;30;55;4705,72984;4703,76000;DOWN
2026-04-23 14:00:00;M5;30;34;4698,26049;4698,57000;UP
2026-04-23 14:10:00;M5;30;21;4697,89766;4697,90000;UP
2026-04-23 14:40:00;M5;30;89;4704,69064;4705,38000;UP
2026-04-23 17:05:00;M5;30;21;4726,83379;4721,36000;DOWN
2026-04-23 17:50:00;M5;30;21;4731,35138;4735,11000;UP
2026-04-23 18:05:00;M5;30;21;4735,40307;4728,65000;DOWN
2026-04-23 18:50:00;M5;30;34;4724,70589;4717,13000;DOWN
2026-04-23 19:30:00;M5;30;34;4726,62378;4728,39000;UP
2026-04-23 19:35:00;M5;30;34;4728,61119;4727,88000;DOWN
2026-04-23 20:20:00;M5;30;89;4708,11400;4707,46000;DOWN
2026-04-23 20:55:00;M5;30;89;4708,35578;4709,32000;UP
2026-04-23 21:30:00;M5;30;55;4718,62790;4718,63000;UP
2026-04-23 21:45:00;M5;30;89;4708,45053;4706,54000;DOWN
2026-04-24 01:05:00;M5;30;21;4690,58462;4697,38000;UP
2026-04-24 02:30:00;M5;30;34;4698,89606;4699,02000;UP
2026-04-24 02:55:00;M5;30;34;4695,80257;4695,35000;DOWN
2026-04-24 03:05:00;M5;30;34;4693,80598;4696,25000;UP
2026-04-24 03:45:00;M5;30;89;4700,82438;4699,28000;DOWN
2026-04-24 04:05:00;M5;30;55;4703,05534;4703,91000;UP
2026-04-24 04:35:00;M5;30;89;4699,99516;4695,93000;DOWN
2026-04-24 05:05:00;M5;30;34;4690,44246;4694,66000;UP
2026-04-24 05:35:00;M5;30;34;4688,60924;4683,43000;DOWN
2026-04-24 07:45:00;M5;30;21;4673,48807;4675,92000;UP
2026-04-24 08:15:00;M5;30;34;4674,36134;4674,76000;UP
2026-04-24 09:20:00;M5;30;55;4677,92248;4673,72000;DOWN
2026-04-24 09:35:00;M5;30;34;4671,10419;4675,05000;UP
2026-04-24 10:05:00;M5;30;55;4674,11387;4677,50000;UP
2026-04-24 10:40:00;M5;30;89;4683,72711;4685,48000;UP
2026-04-24 12:25:00;M5;30;21;4684,15001;4683,28000;DOWN
2026-04-24 13:30:00;M5;30;89;4679,77200;4675,31000;DOWN
2026-04-24 14:00:00;M5;30;21;4686,29665;4689,54000;UP
2026-04-24 15:45:00;M5;30;34;4692,50263;4692,28000;DOWN
